FindSpotID,Province,Settlment,SpecificLocation,LONG,LAT
1,Dalmatia,Iader,,15.2313648,44.119371
2,Dalmatia,Aequum,,16.655704,43.739278
3,Dalmatia,Salona,Grad-Diokletianpalast-Mausoleum,16.44032121,43.50811796
4,Dalmatia,Aequum,Majstorovici,,
5,Dalmatia,Tilurium,Vojnić,,
6,Dalmatia,Tilurium,,16.729321,43.607338
7,Dalmatia,,,,
8,Dalmatia,Salona,NthNecropolis,,
9,Dalmatia,Salona,EastNecropolis,,
6,Dalmatia,Tilurium,,16.729321,43.607338
10,Dalmatia,Iader,Filippi-house,,
5,Dalmatia,Tilurium,Vojnić,,
11,Dalmatia,Salona,,,
11,Dalmatia,Salona,,,
12,Dalmatia,Bigeste-Ljubuški,Filovača,,
13,Dalmatia,Tilurium,Gardun,,
14,Dalmatia,Iader,Church of st Michael,,
5,Dalmatia,Tilurium,Vojnić,,
11,Dalmatia,Salona,,,
15,Dalmatia,Narona,Vid-Metković,17.62464523,43.08130155
12,Dalmatia,Bigeste-Ljubuški,Filovača,,
11,Dalmatia,salona,,,
16,Thracia,Lysimachia,,26.75081,40.548232
8,Dalmatia,Salona,NthNecropolis,,
5,Dalmatia,Tilurium,Vojnić,,
17,Dalmatia,Dugopolje,Near Tilurium and Salona,,
5,Dalmatia,Tilurium,Vojnić,,
18,Dalmatia,Karin-Corinium,Near Iader,,
19,Dalmatia,Tilurium,Košute,,
5,Dalmatia,Tilurium,Vojnić,,
13,Dalmatia,Tilurium,Gardun,,
11,Dalmatia,Salona,,,
11,Dalmatia,Salona,,,
20,Dalmatia,Tilurium,Dicmo,,
15,Dalmatia,Narona,Vid-Metković,,
21,Dalmatia,Prud,,,
22,Dalmatia,Imotski ,Runovići ,,
23,Dalmatia,Tilurium,Cetina River,16.728064,43.61461719
24,MoesiaS,Viminacium,Gradac,,
25,Dalmatia,Bigeste-Ljubuški,Hardomilje,,
25,Dalmatia,Bigeste-Ljubuški,Hardomilje,,
11,Dalmatia,Salona,,,
13,Dalmatia,Tilurium,Gardun,,
11,Dalmatia,Salona,,,
11,Dalmatia,Salona,,,
26,Dalmatia,Asseria,Podgrađe,,
8,Dalmatia,Salona,NthNecropolis,,
13,Dalmatia,Tilurium,Gardun,,
27,Dalmatia,Bigeste-Ljubuški,Veljaci,,
9,Dalmatia,Salona,EastNecropolis,,
5,Dalmatia,Tilurium,Vojnić,,
5,Dalmatia,Tilurium,Vojnić,,
28,Dalmatia,Glavice,Near Sinj,,
25,Dalmatia,Bigeste-Ljubuški,Hardomilje,,
13,Dalmatia,Tilurium,Gardun,,
13,Dalmatia,Tilurium,Gardun,,
29,Dalmatia,Tilurium,Trilj,,
30,Dalmatia,Danilo Gornje,Near Šibenik,,
8,Dalmatia,Salona,NthNecropolis,,
8,Dalmatia,Salona,NthNecropolis,,
31,Dalmatia,Aequum,Čitluk,,
8,Dalmatia,Salona,NthNecropolis,,
32,Dalmatia,Andetrium,Gornji Muć,,
33,Dalmatia,Bigeste-Ljubuški,Humac,,
9,Dalmatia,Salona,EastNecropolis,,
11,Dalmatia,Salona,,,
33,Dalmatia,Bigeste-Ljubuški,Humac,,
9,Dalmatia,Salona,EastNecropolis,,
25,Dalmatia,Bigeste-Ljubuški,Hardomilje,,
13,Dalmatia,Tilurium,Gardun,,
34,Dalmatia,Aequum,Hrvace,,
25,Dalmatia,Bigeste-Ljubuški,Hardomilje,,
11,Dalmatia,Salona,,,
34,Dalmatia,Siculi,Bijaći,,
35,Dalmatia,Siculi,Tragurium,,
5,Dalmatia,Tilurium,Vojnić,,
36,Dalmatia,Salona,Near Porta Caesarea,,
37,Dalmatia,Salona,Kapljuč,,
29,Dalmatia,Tilurium,Trilj,,
11,Dalmatia,Salona,,,
38,Dalmatia,Bigeste-Ljubuški,Vitaljina,,
11,Dalmatia,Salona,,,
39,Dalmatia,Vaganj,Near jajce,17.17608,44.15513
40,Galatia,Antiochia Pisidiae,,,
40,Galatia,Antiochia Pisidiae,,,
41,Galatia,Cormasa,near Antiochia Pisidiae,,
42,Galatia,Iconium,near Antiochia Pisidiae,,
34,Dalmatia,Siculi,Bijaći,,
